収支区分,取引口座,カードラベル,取引内容,マッチ条件,金額（最小値）,金額（最大値）,優先度,マッチ後のアクション,振替口座,取引テンプレート,購入データ原本に準拠,取引先,適格請求書等,勘定科目,税区分,品目,部門,メモタグ（複数指定可・カンマ区切り）,セグメント1,セグメント2,セグメント3,備考,消込を実行する際の差額,差額金額の設定（消込の過小入金・出金）,勘定科目（消込の過小入金・出金）,税区分（消込の過小入金・出金）,品目（消込の過小入金・出金）,部門（消込の過小入金・出金）,メモタグ（複数指定可・カンマ区切り）（消込の過小入金・出金）,セグメント1（消込の過小入金・出金）,セグメント2（消込の過小入金・出金）,セグメント3（消込の過小入金・出金）,備考（消込の過小入金・出金）,勘定科目（消込の過小入金・出金の複合差額）,税区分（消込の過小入金・出金の複合差額）,品目（消込の過小入金・出金の複合差額）,部門（消込の過小入金・出金の複合差額）,メモタグ（複数指定可・カンマ区切り）（消込の過小入金・出金の複合差額）,セグメント1（消込の過小入金・出金の複合差額）,セグメント2（消込の過小入金・出金の複合差額）,セグメント3（消込の過小入金・出金の複合差額）,備考（消込の過小入金・出金の複合差額）,差額金額の設定（消込の過剰入金・出金）,勘定科目（消込の過剰入金・出金）,税区分（消込の過剰入金・出金）,品目（消込の過剰入金・出金）,部門（消込の過剰入金・出金）,メモタグ（複数指定可・カンマ区切り）（消込の過剰入金・出金）,セグメント1（消込の過剰入金・出金）,セグメント2（消込の過剰入金・出金）,セグメント3（消込の過剰入金・出金）,備考（消込の過剰入金・出金）
支出,,,【商品本体】 シンワ測定(Shinwa Sokutei) 温度計 アナログ 冷蔵庫用 A 72532 （消費税率10％） （注文番号:250-8234534-6287805）（適格）,完全一致,,,0,取引を推測する,,,,温度計 アナログ 冷蔵庫用 A 72532 （消費税率10％） （注文番号:250-8234534-6287805）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 シンワ測定(Shinwa Sokutei) 温度計 アナログ 冷蔵庫用 A 72532 （消費税率10％） （注文番号:250-8234534-6287805）（適格）,完全一致,,,0,取引を推測する,,,,温度計 アナログ 冷蔵庫用 A 72532 （消費税率10％） （注文番号:250-8234534-6287805）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 油ながもちくん(12ヶ入)/62-6500-06 （消費税率10％） （注文番号:250-8234534-6287805）（適格）,完全一致,,,0,取引を推測する,,,,/62-6500-06 （消費税率10％） （注文番号:250-8234534-6287805）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 レシートロール レジ用感熱ロールペーパー サーマルロール レジロール 80mm幅×80mm外径×12mm内径 20巻入 【個包装】 （消費税率10％） （注文番号:250-6572703-5044627）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-6572703-5044627）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 新富士バーナー(Shinfuji Burner) パワーガス・プロ レギュラー L RZ-8702 (RZ-870 x 6本パック) （消費税率10％） （注文番号:250-6784639-1707867）（適格）,完全一致,,,0,取引を推測する,,,,パワーガス・プロ レギュラー L RZ-8702 (RZ-870 x 6本パック) （消費税率10％） （注文番号:250-6784639-1707867）（適格）,,水道光熱費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 【日本製】 油処理袋 かたづけポイ 500ml 吸収 廃油 残り汁 処理用 6個セット 燃えるゴミで簡単処分 再生紙 エコタイプ Hattoripaper （消費税率10％） （注文番号:250-4732076-7079864）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-4732076-7079864）（適格）,,仕入高,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,【商品本体】 ThermoPro 料理温度計 デジタル -50℃~300℃ 油温度 お肉 パン作り 天麩羅 揚げ物 チョコレート コーヒー バーベキューなどの温度管理 サーモメーター TP516BS （消費税率10％） （注文番号:250-3398260-5847050）（適格）,完全一致,,,0,取引を推測する,,,,（注文番号:250-3398260-5847050）（適格）,,会議費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
収入,,,Vデビット AMAZON．CO．JP 1A058011,部分一致,,,0,取引を登録する,,,,CO．JP 1A058011,,消耗品費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,ETC 関東支社,部分一致,,,0,取引を登録する,,,,ETC 関東支社,,旅費交通費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,ETC 関東支社,部分一致,,,0,取引を登録する,,,,ETC 関東支社,,旅費交通費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支出,,,ETC 関東支社,部分一致,,,0,取引を登録する,,,,ETC 関東支社,,旅費交通費,課対仕入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
